Countries,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
Honduras,0.00738348,0.00172894,0.00615669,0.00143203,0.01065993,0.00266688,0.01042693,0.00754478,0.00705664,0.00545959,0.00344789,0.01053518,0.01214746,0.01033308,0.00453273,0.00115649,0.00205192,0.0046841,0.01064457,0.01423304,0.00410911,0.01420286,0.00753847,0.00870971,0.00743113,0.00306958,0.00511223,0.0104674,0.00293604,0.0048151,0.00621755,0.01030453,0.01339624, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/honduras.jpg
Costa Rica,0.00738348,0.00172894,0.00615669,0.00143203,0.01065993,0.00266688,0.01042693,0.00754478,0.00705664,0.00545959,0.00344789,0.01053518,0.01214746,0.01033308,0.00453273,0.00115649,0.00205192,0.0046841,0.01064457,0.01423304,0.00410911,0.01420286,0.00753847,0.00870971,0.00743113,0.00306958,0.00511223,0.0104674,0.00293604,0.0048151,0.00621755,0.01030453,0.01339624, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/costarica.jpg
Columbia,0.00738348,0.00172894,0.00615669,0.00143203,0.01065993,0.00266688,0.01042693,0.00754478,0.00705664,0.00545959,0.00344789,0.01053518,0.01214746,0.01033308,0.00453273,0.00115649,0.00205192,0.0046841,0.01064457,0.01423304,0.00410911,0.01420286,0.00753847,0.00870971,0.00743113,0.00306958,0.00511223,0.0104674,0.00293604,0.0048151,0.00621755,0.01030453,0.01339624, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/colombia.jpg
Ecuador,0.00738348,0.00172894,0.00615669,0.00143203,0.01065993,0.00266688,0.01042693,0.00754478,0.00705664,0.00545959,0.00344789,0.01053518,0.01214746,0.01033308,0.00453273,0.00115649,0.00205192,0.0046841,0.01064457,0.01423304,0.00410911,0.01420286,0.00753847,0.00870971,0.00743113,0.00306958,0.00511223,0.0104674,0.00293604,0.0048151,0.00621755,0.01030453,0.01339624, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/ecuadorlux.jpg
Brazil,0.00738348,0.00172894,0.00615669,0.00143203,0.01065993,0.00266688,0.01042693,0.00754478,0.00705664,0.00545959,0.00344789,0.01053518,0.01214746,0.01033308,0.00453273,0.00115649,0.00205192,0.0046841,0.01064457,0.01423304,0.00410911,0.01420286,0.00753847,0.00870971,0.00743113,0.00306958,0.00511223,0.0104674,0.00293604,0.0048151,0.00621755,0.01030453,0.01339624, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/brazil.jpg
Chili,0.00738348,0.00172894,0.00615669,0.00143203,0.01065993,0.00266688,0.01042693,0.00754478,0.00705664,0.00545959,0.00344789,0.01053518,0.01214746,0.01033308,0.00453273,0.00115649,0.00205192,0.0046841,0.01064457,0.01423304,0.00410911,0.01420286,0.00753847,0.00870971,0.00743113,0.00306958,0.00511223,0.0104674,0.00293604,0.0048151,0.00621755,0.01030453,0.01339624, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/chile.jpg
Uruguay,0.00738348,0.00172894,0.00615669,0.00143203,0.01065993,0.00266688,0.01042693,0.00754478,0.00705664,0.00545959,0.00344789,0.01053518,0.01214746,0.01033308,0.00453273,0.00115649,0.00205192,0.0046841,0.01064457,0.01423304,0.00410911,0.01420286,0.00753847,0.00870971,0.00743113,0.00306958,0.00511223,0.0104674,0.00293604,0.0048151,0.00621755,0.01030453,0.01339624, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/uruguay.jpg
Argentina,0.00738348,0.00172894,0.00615669,0.00143203,0.01065993,0.00266688,0.01042693,0.00754478,0.00705664,0.00545959,0.00344789,0.01053518,0.01214746,0.01033308,0.00453273,0.00115649,0.00205192,0.0046841,0.01064457,0.01423304,0.00410911,0.01420286,0.00753847,0.00870971,0.00743113,0.00306958,0.00511223,0.0104674,0.00293604,0.0048151,0.00621755,0.01030453,0.01339624, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/argentinalux.jpg
Australia,0.02015075,0.00073725,0.00507261,0.00122883,0.00917794,0.00281804,0.01512219,0.00252615,0.00925252,0.00178151,0.00328978,0.00528711,0.0228732,0.0071465,0.00238359,0.0010912,0.00190876,0.00580947,0.01169761,0.01821047,0.00474998,0.00833362,0.00358264,0.00791629,0.00248734,0.0018253,0.01053602,0.00550758,0.00258922,0.01064892,0.00330968,0.01472438,0.0193269, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/australia.jpg
Switzerland,0.0629134,0.00974731,0.04442512,0.00986454,0.04856247,0.01802392,0.07246169,0.01922572,0.04068305,0.02732778,0.02040171,0.03480681,0.06833526,0.04665244,0.0262846,0.00756382,0.02131609,0.03290067,0.05212543,0.11914022,0.03843718,0.05232409,0.02581169,0.03497605,0.02026439,0.01618601,0.04920201,0.03598542,0.01772986,0.03608951,0.02223197,0.04571397,0.10250545, http://www.flagsonline.it/Bandiere/Bandiere3d/ico/switzerland.jpg
